file,rel_path,porosity,shift,target_peak,offset,status
6-6-20 全部_z1088_y912_x1089.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y912_x1089.npy,0.014858245849609375,1,149,28,ok
6-6-20 全部_z1088_y912_x705.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y912_x705.npy,0.007502615451812744,-4,149,28,ok
6-6-20 全部_z1088_y912_x769.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y912_x769.npy,0.004296004772186279,4,149,28,ok
6-6-20 全部_z1088_y912_x833.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y912_x833.npy,0.005755245685577393,5,149,28,ok
6-6-20 全部_z1088_y912_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y912_x897.npy,0.0074576735496521,4,149,28,ok
6-6-20 全部_z1088_y912_x961.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y912_x961.npy,0.012355566024780273,5,149,28,ok
6-6-20 全部_z1088_y976_x1025.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x1025.npy,0.014659345149993896,5,149,28,ok
6-6-20 全部_z1088_y976_x1089.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x1089.npy,0.014231860637664795,3,149,28,ok
6-6-20 全部_z1088_y976_x641.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x641.npy,0.009100079536437988,-6,149,28,ok
6-6-20 全部_z1088_y976_x705.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x705.npy,0.011864304542541504,-5,149,28,ok
6-6-20 全部_z1088_y976_x769.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x769.npy,0.006510317325592041,4,149,28,ok
6-6-20 全部_z1088_y976_x833.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x833.npy,0.00774616003036499,5,149,28,ok
6-6-20 全部_z1088_y976_x897.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x897.npy,0.009481966495513916,5,149,28,ok
6-6-20 全部_z1088_y976_x961.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1088_y976_x961.npy,0.01357722282409668,5,149,28,ok
6-6-20 全部_z1152_y1040_x1027.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1040_x1027.npy,0.006949424743652344,4,149,28,ok
6-6-20 全部_z1152_y1040_x1091.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1040_x1091.npy,0.009866118431091309,-6,149,28,ok
6-6-20 全部_z1152_y1040_x707.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1040_x707.npy,0.018338322639465332,-6,149,28,ok
6-6-20 全部_z1152_y1040_x771.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1040_x771.npy,0.01315540075302124,3,149,28,ok
6-6-20 全部_z1152_y1040_x835.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1040_x835.npy,0.015221655368804932,4,149,28,ok
6-6-20 全部_z1152_y1040_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1040_x899.npy,0.015003085136413574,4,149,28,ok
6-6-20 全部_z1152_y1040_x963.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1040_x963.npy,0.0086517333984375,5,149,28,ok
6-6-20 全部_z1152_y1104_x1027.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1104_x1027.npy,0.011667490005493164,-7,149,28,ok
6-6-20 全部_z1152_y1104_x771.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1104_x771.npy,0.025754272937774658,-7,149,28,ok
6-6-20 全部_z1152_y1104_x835.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1104_x835.npy,0.023734629154205322,-2,149,28,ok
6-6-20 全部_z1152_y1104_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1104_x899.npy,0.01693969964981079,2,149,28,ok
6-6-20 全部_z1152_y1104_x963.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1104_x963.npy,0.009212851524353027,3,149,28,ok
6-6-20 全部_z1152_y1168_x835.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1168_x835.npy,0.023112833499908447,-7,149,28,ok
6-6-20 全部_z1152_y1168_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1168_x899.npy,0.02056962251663208,-7,149,28,ok
6-6-20 全部_z1152_y1168_x963.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y1168_x963.npy,0.010913193225860596,-7,149,28,ok
6-6-20 全部_z1152_y720_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y720_x899.npy,0.004134774208068848,-3,149,28,ok
6-6-20 全部_z1152_y784_x835.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y784_x835.npy,0.008253991603851318,5,149,28,ok
6-6-20 全部_z1152_y784_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y784_x899.npy,0.012607395648956299,4,149,28,ok
6-6-20 全部_z1152_y784_x963.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y784_x963.npy,0.01356351375579834,4,149,28,ok
6-6-20 全部_z1152_y848_x1027.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y848_x1027.npy,0.01487433910369873,4,149,28,ok
6-6-20 全部_z1152_y848_x771.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y848_x771.npy,0.005433917045593262,5,149,28,ok
6-6-20 全部_z1152_y848_x835.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y848_x835.npy,0.008654475212097168,5,149,28,ok
6-6-20 全部_z1152_y848_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y848_x899.npy,0.012926340103149414,5,149,28,ok
6-6-20 全部_z1152_y848_x963.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y848_x963.npy,0.0142020583152771,5,149,28,ok
6-6-20 全部_z1152_y912_x1027.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y912_x1027.npy,0.016777634620666504,4,149,28,ok
6-6-20 全部_z1152_y912_x1091.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y912_x1091.npy,0.015437960624694824,0,149,28,ok
6-6-20 全部_z1152_y912_x707.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y912_x707.npy,0.00799572467803955,-2,149,28,ok
6-6-20 全部_z1152_y912_x771.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y912_x771.npy,0.008590519428253174,4,149,28,ok
6-6-20 全部_z1152_y912_x835.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y912_x835.npy,0.01241070032119751,5,149,28,ok
6-6-20 全部_z1152_y912_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y912_x899.npy,0.017599821090698242,4,149,28,ok
6-6-20 全部_z1152_y912_x963.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y912_x963.npy,0.01731419563293457,5,149,28,ok
6-6-20 全部_z1152_y976_x1027.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y976_x1027.npy,0.016212284564971924,5,149,28,ok
6-6-20 全部_z1152_y976_x1091.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y976_x1091.npy,0.014483273029327393,2,149,28,ok
6-6-20 全部_z1152_y976_x707.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y976_x707.npy,0.019284486770629883,-6,149,28,ok
6-6-20 全部_z1152_y976_x771.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y976_x771.npy,0.014446258544921875,4,149,28,ok
6-6-20 全部_z1152_y976_x835.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y976_x835.npy,0.01771259307861328,5,149,28,ok
6-6-20 全部_z1152_y976_x899.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y976_x899.npy,0.021831154823303223,5,149,28,ok
6-6-20 全部_z1152_y976_x963.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1152_y976_x963.npy,0.018390357494354248,5,149,28,ok
6-6-20 全部_z1216_y1039_x1028.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1039_x1028.npy,0.009202778339385986,3,149,28,ok
6-6-20 全部_z1216_y1039_x1092.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1039_x1092.npy,0.010153353214263916,-6,149,28,ok
6-6-20 全部_z1216_y1039_x708.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1039_x708.npy,0.033310890197753906,-6,149,28,ok
6-6-20 全部_z1216_y1039_x772.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1039_x772.npy,0.03918558359146118,-6,149,28,ok
6-6-20 全部_z1216_y1039_x836.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1039_x836.npy,0.025850117206573486,4,149,28,ok
6-6-20 全部_z1216_y1039_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1039_x900.npy,0.021709859371185303,4,149,28,ok
6-6-20 全部_z1216_y1039_x964.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1039_x964.npy,0.012629151344299316,4,149,28,ok
6-6-20 全部_z1216_y1103_x1028.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1103_x1028.npy,0.012153148651123047,-7,149,28,ok
6-6-20 全部_z1216_y1103_x772.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1103_x772.npy,0.03267389535903931,-7,149,28,ok
6-6-20 全部_z1216_y1103_x836.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1103_x836.npy,0.033800721168518066,-4,149,28,ok
6-6-20 全部_z1216_y1103_x900.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1103_x900.npy,0.020744025707244873,2,149,28,ok
6-6-20 全部_z1216_y1103_x964.npy,Cleaned_NPY_Dataset_20\6-6-20 全部_z1216_y1103_x964.npy,0.010466575622558594,3,149,28,ok
