file,rel_path,porosity,scale_factor,orig_peak,clip_ratio,status
6-6-20 全部_z2880_y525_x312.npy,6-6-20 全部_z2880_y525_x312.npy,0.07510924339294434,0.7730877123230181,45273,0.0,ok
6-6-21_z2304_y396_x376.npy,6-6-21_z2304_y396_x376.npy,0.07510942220687866,0.7803268454729896,44853,0.0,ok
6-6-21_z2112_y393_x375.npy,6-6-21_z2112_y393_x375.npy,0.07517349720001221,0.7195279896387969,48643,0.0,ok
6-6-21_z5568_y456_x436.npy,6-6-21_z5568_y456_x436.npy,0.07522690296173096,0.8093046916549125,43247,0.0,ok
6-6-21_z1280_y597_x513.npy,6-6-21_z1280_y597_x513.npy,0.07523685693740845,0.7449661572517134,46982,0.0,ok
6-6-22_z3840_y303_x383.npy,6-6-22_z3840_y303_x383.npy,0.07529252767562866,0.8069350302024254,43374,0.0,ok
6-6-21_z2368_y526_x312.npy,6-6-21_z2368_y526_x312.npy,0.0753028392791748,0.782385157035878,44735,0.0,ok
6-6-21_z2368_y526_x376.npy,6-6-21_z2368_y526_x376.npy,0.07534408569335938,0.7965226098632257,43941,0.0,ok
6-6-21_z3968_y533_x322.npy,6-6-21_z3968_y533_x322.npy,0.07534587383270264,0.768926578496419,45518,0.0,ok
6-6-21_z2240_y459_x375.npy,6-6-21_z2240_y459_x375.npy,0.0753474235534668,0.7534335041115943,46454,0.0,ok
6-6-21_z1536_y318_x372.npy,6-6-21_z1536_y318_x372.npy,0.07536256313323975,0.6437018373089585,54373,0.0,ok
6-6-22_z1472_y510_x240.npy,6-6-22_z1472_y510_x240.npy,0.07541275024414062,0.8186368526921458,42754,0.0,ok
6-6-21_z1408_y574_x500.npy,6-6-21_z1408_y574_x500.npy,0.0754232406616211,0.7487591990415883,46744,0.0,ok
6-6-21_z2176_y329_x567.npy,6-6-21_z2176_y329_x567.npy,0.07552200555801392,0.7695521206657725,45481,0.0,ok
6-6-20 全部_z3904_y439_x653.npy,6-6-20 全部_z3904_y439_x653.npy,0.07553267478942871,0.9282342332785233,37706,0.0,ok
6-6-21_z1664_y640_x437.npy,6-6-21_z1664_y640_x437.npy,0.07553374767303467,0.7550751839147413,46353,0.0,ok
6-6-21_z2496_y276_x377.npy,6-6-21_z2496_y276_x377.npy,0.07558554410934448,0.6734525023570838,51971,0.0,ok
6-6-21_z1280_y597_x449.npy,6-6-21_z1280_y597_x449.npy,0.07558804750442505,0.7403803439595541,47273,0.0,ok
6-6-22_z2880_y577_x635.npy,6-6-22_z2880_y577_x635.npy,0.07560527324676514,0.8038585209003215,43540,0.0,ok
6-6-22_z1536_y510_x496.npy,6-6-22_z1536_y510_x496.npy,0.07563942670822144,0.8363201911589009,41850,0.0,ok
6-6-21_z2240_y395_x375.npy,6-6-21_z2240_y395_x375.npy,0.07570624351501465,0.7501714677640604,46656,0.0,ok
6-6-21_z2112_y457_x375.npy,6-6-21_z2112_y457_x375.npy,0.07570850849151611,0.7264575852549866,48179,0.0,ok
6-6-21_z2112_y329_x503.npy,6-6-21_z2112_y329_x503.npy,0.07571262121200562,0.7852815795378058,44570,0.0,ok
6-6-20 全部_z2816_y333_x247.npy,6-6-20 全部_z2816_y333_x247.npy,0.07574242353439331,0.788252781406243,44402,0.0,ok
6-6-21_z5440_y405_x431.npy,6-6-21_z5440_y405_x431.npy,0.0757477879524231,0.7919806304165818,44193,0.0,ok
6-6-22_z3776_y441_x447.npy,6-6-22_z3776_y441_x447.npy,0.07577425241470337,0.867689714158217,40337,0.0,ok
6-6-21_z960_y321_x502.npy,6-6-21_z960_y321_x502.npy,0.07578527927398682,0.7314065993772595,47853,0.0,ok
6-6-21_z1408_y382_x372.npy,6-6-21_z1408_y382_x372.npy,0.07579559087753296,0.7185677917385235,48708,0.0,ok
6-6-21_z1536_y446_x372.npy,6-6-21_z1536_y446_x372.npy,0.07580268383026123,0.8342868039664378,41952,0.0,ok
6-6-21_z704_y443_x699.npy,6-6-21_z704_y443_x699.npy,0.07584691047668457,0.7151760354727313,48939,0.0,ok
6-6-22_z3008_y440_x571.npy,6-6-22_z3008_y440_x571.npy,0.07589834928512573,0.8724480893386843,40117,0.0,ok
6-6-22_z1216_y576_x432.npy,6-6-22_z1216_y576_x432.npy,0.07592421770095825,0.8296787957804906,42185,0.0,ok
