Epoch,Global_Step,Time,LR,VAE_Total_Loss,Rec_Loss(L1),P_Loss(LPIPS),KL_Loss,G_Loss(Adv),D_Weight,D_Loss(Disc),Logits_Real,Logits_Fake
1,900,2026-01-25 10:52:36,4.50e-06,0.460468,0.088836,0.339844,31788.146484,-0.095703,0.0000,0.000000,0.0000,0.0000
1,901,2026-01-25 10:52:39,4.50e-06,0.462993,0.086644,0.347656,28692.218750,-0.094727,0.0000,0.000000,0.0000,0.0000
1,902,2026-01-25 10:52:42,4.50e-06,0.459796,0.083874,0.343750,32171.949219,-0.094727,0.0000,0.000000,0.0000,0.0000
1,903,2026-01-25 10:52:45,4.50e-06,0.416865,0.071012,0.314453,31399.455078,-0.110352,0.0000,0.000000,0.0000,0.0000
1,904,2026-01-25 10:52:48,4.50e-06,0.454066,0.098698,0.324219,31148.357422,-0.081055,0.0000,0.000000,0.0000,0.0000
1,905,2026-01-25 10:52:51,4.50e-06,0.438389,0.069618,0.337891,30880.542969,-0.099609,0.0000,0.000000,0.0000,0.0000
1,906,2026-01-25 10:52:54,4.50e-06,0.470822,0.111202,0.328125,31495.066406,-0.092285,0.0000,0.000000,0.0000,0.0000
1,907,2026-01-25 10:52:57,4.50e-06,0.453039,0.080224,0.343750,29064.253906,-0.087402,0.0000,0.000000,0.0000,0.0000
1,908,2026-01-25 10:53:00,4.50e-06,0.433312,0.082577,0.318359,32375.830078,-0.093262,0.0000,0.000000,0.0000,0.0000
1,909,2026-01-25 10:53:03,4.50e-06,0.448868,0.094885,0.324219,29764.759766,-0.086426,0.0000,0.000000,0.0000,0.0000
1,910,2026-01-25 10:53:07,4.50e-06,0.456774,0.113755,0.308594,34425.398438,-0.082031,0.0000,0.000000,0.0000,0.0000
1,911,2026-01-25 10:53:10,4.50e-06,0.452393,0.090359,0.330078,31955.365234,-0.088867,0.0000,0.000000,0.0000,0.0000
1,912,2026-01-25 10:53:13,4.50e-06,0.446784,0.084927,0.328125,33732.289062,-0.079590,0.0000,0.000000,0.0000,0.0000
1,913,2026-01-25 10:53:16,4.50e-06,0.403955,0.068590,0.304688,30677.765625,-0.096680,0.0000,0.000000,0.0000,0.0000
1,914,2026-01-25 10:53:19,4.50e-06,0.452766,0.091820,0.330078,30867.724609,-0.095215,0.0000,0.000000,0.0000,0.0000
1,915,2026-01-25 10:53:22,4.50e-06,0.491497,0.135447,0.326172,29878.224609,-0.102051,0.0000,0.000000,0.0000,0.0000
1,916,2026-01-25 10:53:25,4.50e-06,0.512482,0.153990,0.328125,30366.722656,-0.086426,0.0000,0.000000,0.0000,0.0000
1,917,2026-01-25 10:53:28,4.50e-06,0.438439,0.092413,0.314453,31572.544922,-0.080078,0.0000,0.000000,0.0000,0.0000
1,918,2026-01-25 10:53:31,4.50e-06,0.484370,0.118731,0.333984,31654.929688,-0.098145,0.0000,0.000000,0.0000,0.0000
1,919,2026-01-25 10:53:34,4.50e-06,0.437448,0.078391,0.326172,32885.144531,-0.090332,0.0000,0.000000,0.0000,0.0000
1,920,2026-01-25 10:53:37,4.50e-06,0.461671,0.067780,0.365234,28656.515625,-0.098145,0.0000,0.000000,0.0000,0.0000
1,921,2026-01-25 10:53:40,4.50e-06,0.444852,0.082016,0.332031,30804.765625,-0.090332,0.0000,0.000000,0.0000,0.0000
1,922,2026-01-25 10:53:43,4.50e-06,0.421309,0.068352,0.324219,28739.015625,-0.078613,0.0000,0.000000,0.0000,0.0000
1,923,2026-01-25 10:53:46,4.50e-06,0.472412,0.102426,0.339844,30141.664062,-0.100586,0.0000,0.000000,0.0000,0.0000
1,924,2026-01-25 10:53:49,4.50e-06,0.497147,0.107880,0.357422,31845.878906,-0.093262,0.0000,0.000000,0.0000,0.0000
1,925,2026-01-25 10:53:52,4.50e-06,0.407775,0.074385,0.304688,28702.949219,-0.090820,0.0000,0.000000,0.0000,0.0000
