Epoch,Step,Total_Loss,Recon_Loss,VQ_Loss,Perplexity,LR
2,262,25.079132,0.038535,25.040598,2.326224,0.00001696
2,263,22.789850,0.037786,22.752064,2.292106,0.00001702
2,264,24.018192,0.028529,23.989662,2.338174,0.00001708
2,265,28.944525,0.034403,28.910122,2.390035,0.00001714
2,266,24.725266,0.039955,24.685310,2.362418,0.00001721
2,267,27.091730,0.029600,27.062130,2.390930,0.00001727
2,268,26.621391,0.031466,26.589926,2.312592,0.00001733
2,269,21.180323,0.026291,21.154032,2.234316,0.00001739
2,270,22.850334,0.025704,22.824631,2.369188,0.00001745
2,271,25.277008,0.026269,25.250738,2.349291,0.00001751
2,272,27.873075,0.043814,27.829262,2.278777,0.00001757
2,273,26.539608,0.034390,26.505219,2.362467,0.00001763
2,274,23.762827,0.029585,23.733242,2.415543,0.00001769
2,275,29.383818,0.031893,29.351925,2.370802,0.00001775
2,276,27.828939,0.030398,27.798540,2.390696,0.00001781
2,277,28.249050,0.035720,28.213329,2.312202,0.00001788
2,278,26.272768,0.036012,26.236755,2.335590,0.00001794
2,279,29.032852,0.023405,29.009447,2.313570,0.00001800
2,280,28.379412,0.034051,28.345360,2.286419,0.00001806
2,281,27.179234,0.042605,27.136629,2.289184,0.00001812
2,282,26.689528,0.025401,26.664127,2.354681,0.00001818
2,283,26.627773,0.027860,26.599913,2.339739,0.00001824
2,284,25.400789,0.023650,25.377140,2.327525,0.00001830
2,285,20.969540,0.024904,20.944635,2.430053,0.00001836
2,286,25.418077,0.029001,25.389076,2.392156,0.00001842
2,287,23.995403,0.023125,23.972279,2.327971,0.00001848
2,288,18.485802,0.021239,18.464563,2.334943,0.00001855
2,289,21.052814,0.026450,21.026365,2.571560,0.00001861
2,290,24.617556,0.029400,24.588156,2.294381,0.00001867
2,291,22.017214,0.033533,21.983681,2.450052,0.00001873
2,292,19.974848,0.020742,19.954105,2.323461,0.00001879
2,293,21.376167,0.036920,21.339247,2.641674,0.00001885
2,294,25.578098,0.027844,25.550255,2.229442,0.00001891
2,295,20.831869,0.020941,20.810928,2.353323,0.00001897
2,296,27.057896,0.028456,27.029440,2.245494,0.00001903
2,297,24.044283,0.025100,24.019184,2.701203,0.00001909
2,298,27.097931,0.036835,27.061096,2.309468,0.00001916
2,299,24.309334,0.031006,24.278328,2.377446,0.00001922
